"","Month","Color","Deform","Trt","SL","SH","SW","LL","PL","AL","UL","LCT","LPAS","PW","AW","PVM","PS","CT (RIGHT TEETH)","Total wt","muscle wt"
"141","January","G44",NA,5,39.42,22.01125,16.963125,9.67,20.9725,14.54125,29.82,11.8525,16.1825,8.08,2.86,5.03,7.39,2.7855,22.77,1.74
"142","January","G45",NA,5,38.9,22.01125,16.963125,10.61,20.9725,14.54125,29.76,11.8525,16.1825,6.78,2.86,5.03,6.52,2.7855,21.34,2.05
"143","January","G46",NA,5,43.46,22.01125,16.963125,9.23,20.9725,14.54125,33.07,11.8525,16.1825,8.41,2.86,5.03,7.29,2.7855,25.77,3.61
"144","January","G47",NA,5,42.47,22.01125,16.963125,11.31,20.9725,14.54125,33.23,11.8525,16.1825,6.97,2.86,5.03,7.15,2.7855,25.23,3.01
"145","January","G48",NA,5,39.17,22.01125,16.963125,8.89,20.9725,14.54125,31.6,11.8525,16.1825,8.09,2.86,5.03,7.5,2.7855,22.26,5.46
"146","January","G49",NA,5,38.96,22.01125,16.963125,9.47,20.9725,14.54125,30.31,11.8525,16.1825,6.63,2.86,5.03,7.02,2.7855,21.61,4.18
"147","January","G50",NA,5,35.09,22.01125,16.963125,10.03,20.9725,14.54125,20.79,11.8525,16.1825,6.13,2.86,5.03,6,2.7855,19.46,3.5
"148","January","G51",NA,5,38.32,22.01125,16.963125,9.62,20.9725,14.54125,29.13,11.8525,16.1825,6.21,2.86,5.03,6.91,2.7855,21.87,2.88
"149","January","G52",NA,5,40.27,22.01125,16.963125,9.51,20.9725,14.54125,31.91,11.8525,16.1825,7.26,2.86,5.03,7.37,2.7855,23.26,3.03
"150","January","G53",NA,5,37.56,22.01125,16.963125,8.77,20.9725,14.54125,27.83,11.8525,16.1825,7.04,2.86,5.03,7.05,2.7855,20.37,2.91
"151","January","G54",NA,5,40.69,22.01125,16.963125,10.18,20.9725,14.54125,29.27,11.8525,16.1825,6.32,2.86,5.03,6.46,2.7855,23.67,2.73
"152","January","G55",NA,5,39.18,22.01125,16.963125,10.73,20.9725,14.54125,30.21,11.8525,16.1825,5.76,2.86,5.03,5.15,2.7855,22.56,3.3
"153","January","G56",NA,5,44.38,22.01125,16.963125,10.19,20.9725,14.54125,34.8,11.8525,16.1825,7.87,2.86,5.03,6.45,2.7855,26.73,2.79
"154","January","G57",NA,5,38.7,22.01125,16.963125,10.72,20.9725,14.54125,28.43,11.8525,16.1825,6.42,2.86,5.03,5.79,2.7855,21.04,2.52
"155","January","G58",NA,5,40.77,22.01125,16.963125,11.22,20.9725,14.54125,29.64,11.8525,16.1825,7.05,2.86,5.03,6.69,2.7855,23.24,2.6
"156","January","G59",NA,5,36.36,22.01125,16.963125,10.29,20.9725,14.54125,27.6,11.8525,16.1825,5.67,2.86,5.03,6.86,2.7855,19.71,2.46
"157","January","G60",NA,5,44.59,22.01125,16.963125,11.42,20.9725,14.54125,33.35,11.8525,16.1825,7.43,2.86,5.03,6.98,2.7855,26.88,5.6
"158","January","G61",NA,5,40.37,22.01125,16.963125,10.35,20.9725,14.54125,30.06,11.8525,16.1825,7.11,2.86,5.03,6.24,2.7855,23.5,3.6
"159","January","G62",NA,5,39.21,22.01125,16.963125,9.68,20.9725,14.54125,29.72,11.8525,16.1825,6.79,2.86,5.03,7,2.7855,22.74,3.5
